Brand,Model_Name,Price,Front_Cam_MP,Display_cm,Processor,RAM_in_gb,ROM_in_gb,Battery_in_mAh,Expandable_Memory_in_gb,Rating
realme,realme C21 (Cross Black),8999.0,5.0,16.51,MediaTek Helio G35 Processor,4.0,64.0,5000.0,256.0,4.4
POCO,POCO M3 (Power Black),10499.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,64.0,6000.0,512.0,4.3
REDMI,REDMI 9i (Midnight Black),7999.0,5.0,16.59,MediaTek Helio G25 Processor,4.0,64.0,5000.0,512.0,4.3
realme,realme C20 (Cool Grey),6799.0,5.0,16.51,MediaTek Helio G35 Processor,2.0,32.0,5000.0,256.0,4.3
Infinix,Infinix Hot 10 Play (Morandi Green),8499.0,8.0,17.32,MediaTek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.3
realme,realme Narzo 30A (Laser Black),7999.0,8.0,16.54,MediaTek Helio G85 Processor,3.0,32.0,6000.0,256.0,4.4
realme,realme Narzo 30A (Laser Blue),7999.0,8.0,16.54,MediaTek Helio G85 Processor,3.0,32.0,6000.0,256.0,4.4
realme,realme Narzo 30A (Laser Black),8999.0,8.0,16.54,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
realme,realme Narzo 20 (Glory Silver),9999.0,8.0,16.56,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.3
REDMI,REDMI 9 Power (Electric Green),9999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,4.0,64.0,6000.0,0.0,4.3
POCO,POCO M3 (Cool Blue),10499.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,64.0,6000.0,512.0,4.3
Infinix,,8499.0,8.0,17.32,MediaTek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.3
Infinix,Infinix Hot 10 Play (Aegean Blue),8499.0,8.0,17.32,MediaTek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.3
Infinix,Infinix Hot 10 Play (Obsidian Black),8499.0,8.0,17.32,MediaTek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.3
Infinix,,6799.0,8.0,17.32,MediaTek Helio G25 Processor,2.0,32.0,6000.0,256.0,4.4
Infinix,Infinix Smart 5 (Obsidian Black),6799.0,8.0,17.32,MediaTek Helio G25 Processor,2.0,32.0,6000.0,256.0,4.4
Infinix,Infinix Smart 5 (Morandi Green),6799.0,8.0,17.32,MediaTek Helio G25 Processor,2.0,32.0,6000.0,256.0,4.4
Infinix,Infinix Smart 5 (Aegean Blue),6799.0,8.0,17.32,MediaTek Helio G25 Processor,2.0,32.0,6000.0,256.0,4.4
realme,realme C12 (Power Blue),7999.0,5.0,16.56,Mediatek Helio G35 Processor,3.0,32.0,6000.0,256.0,4.4
REDMI,REDMI 9i (Nature Green),7999.0,5.0,16.59,MediaTek Helio G25 Processor,4.0,64.0,5000.0,512.0,4.3
REDMI,REDMI Note 9 (Pebble Grey),10999.0,13.0,16.59,MediaTek Helio G85 Processor,4.0,64.0,5020.0,512.0,4.3
SAMSUNG,SAMSUNG Galaxy F12 (Sky Blue),9999.0,8.0,16.55,Exynos 850 Processor,4.0,64.0,6000.0,512.0,4.2
GIONEE,GIONEE Max (Red),5499.0,5.0,15.49,Octa Core Processor,2.0,32.0,5000.0,256.0,4.1
OPPO,OPPO A12 (Black),7490.0,5.0,15.8,MediaTek Helio P35 Processor,3.0,32.0,4230.0,256.0,4.4
OPPO,OPPO A12 (Flowing Silver),8490.0,5.0,15.8,MediaTek Helio P35 Processor,4.0,64.0,4230.0,256.0,4.4
OPPO,OPPO A12 (Deep Blue),9999.0,5.0,15.8,MediaTek Helio P35 Processor,4.0,64.0,4230.0,256.0,4.4
SAMSUNG,SAMSUNG Galaxy F41 (Fusion Blue),14499.0,32.0,16.26,Exynos 9611 Processor,6.0,128.0,6000.0,512.0,4.3
OPPO,OPPO A12 (Deep Blue),8999.0,5.0,15.8,MediaTek Helio P35 Processor,3.0,32.0,4230.0,256.0,4.4
OPPO,OPPO A12 (Flowing Silver),9499.0,5.0,15.8,MediaTek Helio P35 Processor,3.0,32.0,4230.0,256.0,4.4
GIONEE,GIONEE Max (Black),5499.0,5.0,15.49,Octa Core Processor,2.0,32.0,5000.0,256.0,4.1
realme,realme Narzo 20 (Glory Silver),9999.0,8.0,16.56,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.3
POCO,POCO M2 Reloaded (Mostly Blue),9499.0,8.0,16.59,MediaTek Helio G80 Processor,4.0,64.0,5000.0,512.0,4.4
realme,realme 8 5G (Supersonic Blue),13999.0,16.0,16.51,,4.0,64.0,5000.0,1000.0,4.3
realme,realme C25 (Watery Blue),9999.0,8.0,16.51,MediaTek Helio G70 Processor,4.0,64.0,6000.0,256.0,4.4
POCO,POCO M3 (Cool Blue),11999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,128.0,6000.0,512.0,4.3
REDMI,REDMI Note 9 (Arctic White),12884.0,13.0,16.59,MediaTek Helio G85 Processor,4.0,64.0,5020.0,512.0,4.3
REDMI,REDMI 9 Power (Mighty Black),9999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,4.0,64.0,6000.0,0.0,4.3
MOTOROLA,MOTOROLA E7 Power (Tahiti Blue),7999.0,5.0,16.54,MediaTek Helio G25 Processor,4.0,64.0,5000.0,1000.0,4.1
realme,realme C25 (Watery Blue),10499.0,8.0,16.51,MediaTek Helio G70 Processor,4.0,128.0,6000.0,256.0,4.4
realme,realme C25 (Watery Grey),10499.0,8.0,16.51,MediaTek Helio G70 Processor,4.0,128.0,6000.0,256.0,4.4
MOTOROLA,MOTOROLA G10 Power (Breeze Blue),9499.0,8.0,16.54,Snapdragon 460 Processor,4.0,64.0,6000.0,0.0,4.1
OPPO,OPPO A33 (Moonlight Black),8990.0,8.0,16.51,Qualcomm Snapdragon 460 Processor,3.0,32.0,5000.0,256.0,4.3
Infinix,Infinix Smart HD 2021 (Obsidian Black),6499.0,5.0,15.49,MediaTek Helio A20 Processor,2.0,32.0,5000.0,256.0,4.4
Infinix,Infinix Smart HD 2021 (Topaz Blue),6499.0,5.0,15.49,MediaTek Helio A20 Processor,2.0,32.0,5000.0,256.0,4.4
Infinix,Infinix Smart HD 2021 (Quartz Green),6499.0,5.0,15.49,MediaTek Helio A20 Processor,2.0,32.0,5000.0,256.0,4.4
Infinix,Infinix Hot 10 (Moonlight Jade),8999.0,8.0,17.22,MediaTek Helio G70 Processor,4.0,64.0,5200.0,256.0,4.4
REDMI,REDMI Note 9 (Aqua Green),12839.0,13.0,16.59,MediaTek Helio G85 Processor,4.0,64.0,5020.0,512.0,4.3
POCO,POCO X3 Pro (Graphite Black),18999.0,20.0,16.94,Qualcomm Snapdragon 860 Processor,6.0,128.0,5160.0,1000.0,4.4
REDMI,REDMI 9 Prime (Mint Green),9999.0,8.0,16.59,MediaTek Helio G80 Processor,4.0,64.0,5020.0,512.0,4.4
POCO,POCO C3 (Arctic Blue),8499.0,5.0,16.59,Mediatek Helio G35 Processor,4.0,64.0,5000.0,512.0,4.3
realme,realme 8 5G (Supersonic Black),14999.0,16.0,16.51,,4.0,128.0,5000.0,1000.0,4.3
Infinix,Infinix Hot 10 (Moonlight Jade),10999.0,8.0,17.22,MediaTek Helio G70 Processor,6.0,128.0,5200.0,256.0,4.3
OPPO,OPPO A33 (Mint Cream),8990.0,8.0,16.51,Qualcomm Snapdragon 460 Processor,3.0,32.0,5000.0,256.0,4.3
realme,realme 8 5G (Supersonic Blue),16999.0,16.0,16.51,,8.0,128.0,5000.0,1000.0,4.3
realme,realme 8 5G (Supersonic Black),16999.0,16.0,16.51,,8.0,128.0,5000.0,1000.0,4.3
Infinix,Infinix Hot 10 (Obsidian Black),8999.0,8.0,17.22,MediaTek Helio G70 Processor,4.0,64.0,5200.0,256.0,4.4
Infinix,Infinix Hot 10 (Amber Red),8999.0,8.0,17.22,MediaTek Helio G70 Processor,4.0,64.0,5200.0,256.0,4.4
Infinix,Infinix Hot 10 (Ocean Wave),8999.0,8.0,17.22,MediaTek Helio G70 Processor,4.0,64.0,5200.0,256.0,4.4
POCO,POCO M3 (Power Black),11999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,128.0,6000.0,512.0,4.3
POCO,POCO X3 (Shadow Gray),14999.0,20.0,16.94,Qualcomm Snapdragon 732G Processor,6.0,64.0,6000.0,512.0,4.4
REDMI,REDMI 9 Power (Blazing Blue),9999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,4.0,64.0,6000.0,0.0,4.3
POCO,POCO M3 (Yellow),10499.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,64.0,6000.0,512.0,4.3
REDMI,REDMI 9i (Sea Blue),7999.0,5.0,16.59,MediaTek Helio G25 Processor,4.0,64.0,5000.0,512.0,4.3
Infinix,,10999.0,8.0,17.32,MediaTek Helio G85 Processor,6.0,64.0,6000.0,256.0,4.3
OPPO,OPPO A53s 5G (Crystal Blue),14990.0,8.0,16.56,MediaTek Dimensity 700 Processor,6.0,128.0,5000.0,1000.0,4.3
OPPO,OPPO A53s 5G (Crystal Blue),16990.0,8.0,16.56,MediaTek Dimensity 700 Processor,8.0,128.0,5000.0,1000.0,4.3
realme,realme C25 (Watery Grey),9499.0,8.0,16.51,MediaTek Helio G70 Processor,4.0,64.0,6000.0,256.0,4.4
realme,realme Narzo 30 Pro 5G (Blade Silver),14999.0,16.0,16.51,MediaTek Dimensity 800U Processor,6.0,64.0,5000.0,256.0,4.4
realme,realme Narzo 30 Pro 5G (Sword Black),14999.0,16.0,16.51,MediaTek Dimensity 800U Processor,6.0,64.0,5000.0,256.0,4.4
realme,realme 8 (Cyber Silver),13999.0,16.0,16.26,MediaTek Helio G95 Processor,4.0,128.0,5000.0,256.0,4.3
realme,realme 8 (Cyber Black),14999.0,16.0,16.26,MediaTek Helio G95 Processor,6.0,128.0,5000.0,256.0,4.4
realme,realme 8 (Cyber Silver),14999.0,16.0,16.26,MediaTek Helio G95 Processor,6.0,128.0,5000.0,256.0,4.4
realme,realme C15 Qualcomm Edition (Power Silver),9999.0,8.0,16.56,Qualcomm Snapdragon 460 Processor,4.0,64.0,6000.0,256.0,4.4
REDMI,REDMI 9 Prime (Matte Black),9999.0,8.0,16.59,MediaTek Helio G80 Processor,4.0,64.0,5020.0,512.0,4.4
realme,realme C15 Qualcomm Edition (Power Blue),9999.0,8.0,16.56,Qualcomm Snapdragon 460 Processor,4.0,64.0,6000.0,256.0,4.4
realme,realme 8 5G (Supersonic Black),13999.0,16.0,16.51,,4.0,64.0,5000.0,1000.0,4.3
POCO,POCO M2 Reloaded (Greyish Black),9499.0,8.0,16.59,MediaTek Helio G80 Processor,4.0,64.0,5000.0,512.0,4.4
MOTOROLA,MOTOROLA G10 Power (Aurora Grey),9499.0,8.0,16.54,Snapdragon 460 Processor,4.0,64.0,6000.0,0.0,4.1
MOTOROLA,MOTOROLA E7 Power (Tahiti Blue),6999.0,5.0,16.54,MediaTek Helio G25 Processor,2.0,32.0,5000.0,1000.0,4.2
ViVO,ViVO Y12s (Phantom Black),10490.0,8.0,16.54,Snapdragon 439 Processor,3.0,32.0,5000.0,256.0,4.3
realme,realme Narzo 20A (Victory Blue),9499.0,8.0,16.51,Qualcomm Snapdragon 665 Processor,4.0,64.0,5000.0,256.0,4.4
REDMI,REDMI 9i (Nature Green),9299.0,5.0,16.59,MediaTek Helio G25 Processor,4.0,128.0,5000.0,512.0,4.3
REDMI,REDMI Note 10 (Aqua Green),13369.0,13.0,16.33,Qualcomm Snapdragon 678 Processor,4.0,64.0,5000.0,512.0,4.3
realme,realme C21 (Cross Blue),8999.0,5.0,16.51,MediaTek Helio G35 Processor,4.0,64.0,5000.0,256.0,4.4
realme,realme C21 (Cross Blue),7999.0,5.0,16.51,MediaTek Helio G35 Processor,3.0,32.0,5000.0,256.0,4.4
realme,realme C21 (Cross Black),7999.0,5.0,16.51,MediaTek Helio G35 Processor,3.0,32.0,5000.0,256.0,4.4
realme,realme C20 (Cool Blue),6799.0,5.0,16.51,MediaTek Helio G35 Processor,2.0,32.0,5000.0,256.0,4.3
realme,realme Narzo 20 (Victory Blue),9999.0,8.0,16.56,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.3
realme,realme Narzo 30A (Laser Blue),8999.0,8.0,16.54,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
realme,realme Narzo 20 (Victory Blue),10999.0,8.0,16.56,MediaTek Helio G85 Processor,4.0,128.0,6000.0,256.0,4.3
realme,realme C12 (Power Silver),7999.0,5.0,16.56,Mediatek Helio G35 Processor,3.0,32.0,6000.0,256.0,4.4
realme,realme C12 (Power Blue),8999.0,5.0,16.56,Mediatek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.4
GIONEE,GIONEE Max (Royal Blue),5499.0,5.0,15.49,Octa Core Processor,2.0,32.0,5000.0,256.0,4.1
realme,realme C12 (Power Silver),8999.0,5.0,16.56,Mediatek Helio G35 Processor,4.0,64.0,6000.0,256.0,4.4
OPPO,OPPO A12 (Blue),8490.0,5.0,15.8,MediaTek Helio P35 Processor,4.0,64.0,4230.0,256.0,4.4
realme,realme Narzo 20 (Glory Silver),10999.0,8.0,16.56,MediaTek Helio G85 Processor,4.0,128.0,6000.0,256.0,4.3
Infinix,Infinix Hot 10 (Ocean Wave),10999.0,8.0,17.22,MediaTek Helio G70 Processor,6.0,128.0,5200.0,256.0,4.3
Infinix,Infinix Hot 10 (Amber Red),10999.0,8.0,17.22,MediaTek Helio G70 Processor,6.0,128.0,5200.0,256.0,4.3
realme,realme 8 5G (Supersonic Blue),14999.0,16.0,16.51,,4.0,128.0,5000.0,1000.0,4.3
Infinix,Infinix Hot 10 (Obsidian Black),10999.0,8.0,17.22,MediaTek Helio G70 Processor,6.0,128.0,5200.0,256.0,4.3
OPPO,OPPO A53s 5G (Ink Black),14990.0,8.0,16.56,MediaTek Dimensity 700 Processor,6.0,128.0,5000.0,1000.0,4.3
REDMI,REDMI 9 Prime (Sunrise Flare),9999.0,8.0,16.59,MediaTek Helio G80 Processor,4.0,64.0,5020.0,512.0,4.4
realme,realme C15 Qualcomm Edition (Power Blue),8999.0,8.0,16.56,Qualcomm Snapdragon 460 Processor,3.0,32.0,6000.0,256.0,4.3
POCO,POCO X3 (Cobalt Blue),14999.0,20.0,16.94,Qualcomm Snapdragon 732G Processor,6.0,64.0,6000.0,512.0,4.4
SAMSUNG,SAMSUNG Galaxy F41 (Fusion Green),14499.0,32.0,16.26,Exynos 9611 Processor,6.0,128.0,6000.0,512.0,4.3
SAMSUNG,SAMSUNG Galaxy F62 (Laser Grey),25999.0,32.0,17.02,Exynos 9825 Processor,8.0,128.0,7000.0,1000.0,4.3
OPPO,OPPO A53 (Moonlight Black),15990.0,16.0,16.51,Qualcomm Snapdragon 460 Processor,4.0,64.0,5000.0,256.0,4.5
MOTOROLA,MOTOROLA G60 (Dynamic Gray),17999.0,32.0,17.22,Qualcomm Snapdragon 732G Processor,6.0,128.0,6000.0,0.0,4.2
Redmi,Redmi 9 (Sporty Orange),9127.0,5.0,16.59,MediaTek Helio G35 Processor,4.0,64.0,5000.0,0.0,4.2
Redmi,Redmi 9 (Sky Blue),9078.0,5.0,16.59,MediaTek Helio G35 Processor,4.0,64.0,5000.0,0.0,4.2
POCO,POCO C3 (Lime Green),7499.0,5.0,16.59,Mediatek Helio G35 Processor,3.0,32.0,5000.0,512.0,4.3
realme,realme Narzo 30 Pro 5G (Blade Silver),17999.0,16.0,16.51,MediaTek Dimensity 800U Processor,8.0,128.0,5000.0,256.0,4.3
REDMI,REDMI 9 Power (Fiery Red),9999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,4.0,64.0,6000.0,0.0,4.3
realme,realme 8 (Cyber Black),13999.0,16.0,16.26,MediaTek Helio G95 Processor,4.0,128.0,5000.0,256.0,4.3
realme,realme 8 (Cyber Black),15999.0,16.0,16.26,MediaTek Helio G95 Processor,8.0,128.0,5000.0,256.0,4.4
realme,realme 8 (Cyber Silver),15999.0,16.0,16.26,MediaTek Helio G95 Processor,8.0,128.0,5000.0,256.0,4.4
OPPO,OPPO A53 (Moonlight Black),12990.0,16.0,16.51,Qualcomm Snapdragon 460 Processor,6.0,128.0,5000.0,256.0,4.4
SAMSUNG,SAMSUNG Galaxy F12 (Sea Green),10999.0,8.0,16.55,Exynos 850 Processor,4.0,128.0,6000.0,512.0,4.2
OPPO,OPPO A53 (Mint Cream),12990.0,16.0,16.51,Qualcomm Snapdragon 460 Processor,6.0,128.0,5000.0,256.0,4.4
realme,realme C25s (Watery Blue),10999.0,8.0,16.51,MediaTek Helio G85 Processor,4.0,128.0,6000.0,256.0,4.4
REDMI,REDMI Note 9 (Shadow Black),13495.0,13.0,16.59,MediaTek Helio G85 Processor,4.0,64.0,5020.0,512.0,4.3
MOTOROLA,MOTOROLA G30 (Dark Pearl),10999.0,13.0,16.54,Snapdragon 662 Processor,4.0,64.0,5000.0,0.0,4.1
Infinix,Infinix Hot 10S (Heart Of Ocean),9999.0,8.0,17.32,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
POCO,POCO X3 Pro (Graphite Black),20999.0,20.0,16.94,Qualcomm Snapdragon 860 Processor,8.0,128.0,5160.0,1000.0,4.4
Infinix,Infinix Smart 4 Plus (Quetzal Cyan),7999.0,8.0,17.32,Mediatek Helio A25 Processor,3.0,32.0,6000.0,256.0,4.4
MOTOROLA,MOTOROLA G40 Fusion (Dynamic Gray),16499.0,16.0,17.22,Qualcomm Snapdragon 732G Processor,6.0,128.0,6000.0,0.0,4.3
ViVO,ViVO Y20G (Purist Blue),12990.0,8.0,16.54,MediaTek Helio G80 Processor,4.0,64.0,5000.0,1000.0,4.3
REDMI,REDMI 9 Power (Mighty Black),11999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,4.0,128.0,6000.0,0.0,4.3
realme,realme 8 Pro (Illuminating Yellow),19999.0,16.0,16.26,Qualcomm Snapdragon 720G Processor,8.0,128.0,4500.0,256.0,4.3
ViVO,ViVO Y51A (Crystal Symphony),17990.0,16.0,16.71,Qualcomm Snapdragon 662 Processor,8.0,128.0,5000.0,1000.0,4.4
ViVO,ViVO Y51A (Titanium Sapphire),17990.0,16.0,16.71,Qualcomm Snapdragon 662 Processor,8.0,128.0,5000.0,1000.0,4.4
POCO,POCO M3 (Yellow),11999.0,8.0,16.59,Qualcomm Snapdragon 662 Processor,6.0,128.0,6000.0,512.0,4.3
REDMI,REDMI 9 Power (Electric Green),12999.0,8.0,16.59,,6.0,128.0,6000.0,0.0,4.3
realme,realme X7 5G (Nebula),17999.0,16.0,16.33,MediaTek Dimensity 800U Processor,6.0,128.0,4310.0,0.0,4.3
Infinix,Infinix Smart 4 Plus (Violet),7999.0,8.0,17.32,Mediatek Helio A25 Processor,3.0,32.0,6000.0,256.0,4.4
MOTOROLA,MOTOROLA E7 Power (Coral Red),7999.0,5.0,16.54,MediaTek Helio G25 Processor,4.0,64.0,5000.0,1000.0,4.1
realme,realme Narzo 30 Pro 5G (Sword Black),17999.0,16.0,16.51,MediaTek Dimensity 800U Processor,8.0,128.0,5000.0,256.0,4.3
ViVO,ViVO Y20G (Obsidian Black),14990.0,8.0,16.54,MediaTek Helio G80 Processor,6.0,128.0,5000.0,1000.0,4.3
ViVO,ViVO Y20G (Obsidian Black),12990.0,8.0,16.54,MediaTek Helio G80 Processor,4.0,64.0,5000.0,1000.0,4.3
SAMSUNG,SAMSUNG Galaxy F12 (Sky Blue),10999.0,8.0,16.55,Exynos 850 Processor,4.0,128.0,6000.0,512.0,4.2
ViVO,ViVO Y11 (Agate Red),9490.0,8.0,16.13,SDM439 Processor,3.0,32.0,5000.0,0.0,4.4
ViVO,ViVO Y11 (Mineral Blue),9490.0,8.0,16.13,SDM439 Processor,3.0,32.0,5000.0,0.0,4.4
SAMSUNG,SAMSUNG Galaxy M11 (Black),9997.0,8.0,16.26,,4.0,64.0,5000.0,512.0,4.3
ViVO,ViVO Y30 (Emerald Black),13990.0,8.0,16.43,MediaTek Helio P35 Processor,4.0,128.0,5000.0,256.0,4.3
Infinix,,9999.0,8.0,17.32,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
Infinix,,9999.0,8.0,17.32,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
Infinix,Infinix Hot 10S (Morandi Green),9999.0,8.0,17.32,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
Itel,Itel A25 Pro (Gradation Green),4999.0,2.0,12.7,Unisoc 9832E Quad Core Processor,2.0,32.0,3020.0,32.0,4.1
Infinix,Infinix Hot 10S (Morandi Green),9999.0,8.0,17.32,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
Itel,Itel A25 Pro (Gradation Green),4999.0,2.0,12.7,Unisoc 9832E Quad Core Processor,2.0,32.0,3020.0,32.0,4.1
Itel,Itel A25 Pro (Gradation Blue),4999.0,2.0,12.7,Unisoc 9832E Quad Core Processor,2.0,32.0,3020.0,32.0,4.1
Itel,Itel A25 Pro (Gradation Purple),4999.0,2.0,12.7,Unisoc 9832E Quad Core Processor,2.0,32.0,3020.0,32.0,4.1
Itel,Itel Vision1 (Gradation Green),6549.0,5.0,15.46,Unisoc SC9863A Octa Core Processor,3.0,32.0,4000.0,128.0,4.1
SAMSUNG,SAMSUNG Galaxy F02s (Diamond Blue),9999.0,5.0,16.55,,4.0,64.0,5000.0,1000.0,4.2
Redmi,Redmi 9 (Sky Blue),10889.0,5.0,16.59,MediaTek Helio G35 Processor,4.0,128.0,5000.0,0.0,4.2
Redmi,Redmi 9 (Carbon Black),9244.0,5.0,16.59,MediaTek Helio G35 Processor,4.0,64.0,5000.0,0.0,4.2
SAMSUNG,SAMSUNG M31 (Ocean Blue),15715.0,32.0,16.26,Samsung Exynos 9 Octa 9611 Processor,6.0,128.0,6000.0,512.0,4.3
ViVO, V2069 (Glacier Blue),10490.0,8.0,16.54,Snapdragon 439 Processor,3.0,32.0,5000.0,256.0,4.3
Infinix,Infinix Hot 10S (Morandi Green),10999.0,8.0,17.32,MediaTek Helio G85 Processor,6.0,64.0,6000.0,256.0,4.3
GIONEE,GIONEE Max Pro (Blue),6499.0,8.0,16.56,Octa Core Processor,3.0,32.0,6000.0,256.0,3.9
realme,realme C25s (Watery Grey),9999.0,8.0,16.51,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
realme,realme C25s (Watery Grey),10999.0,8.0,16.51,MediaTek Helio G85 Processor,4.0,128.0,6000.0,256.0,4.4
realme,realme C25s (Watery Blue),9999.0,8.0,16.51,MediaTek Helio G85 Processor,4.0,64.0,6000.0,256.0,4.4
realme,realme 8 Pro (Infinite Black),19999.0,16.0,16.26,Qualcomm Snapdragon 720G Processor,8.0,128.0,4500.0,256.0,4.3
realme,realme 8 Pro (Infinite Black),17999.0,16.0,16.26,Qualcomm Snapdragon 720G Processor,6.0,128.0,4500.0,256.0,4.3
